"","DR_NO","Date Rptd","DATE OCC","TIME OCC","AREA","AREA NAME","Rpt Dist No","Part 1-2","Crm Cd","Crm Cd Desc","Vict Age","Status Desc","LOCATION","LAT","LON"
"253","190310324","04/06/2019 12:00:00 AM",2019-04-06 12:00:00,"2130","03","Southwest","0379",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",18,"Invest Cont","3900 S  BUDLONG                      AV",34.0155,-118.2959
"254","190300559","02/17/2019 12:00:00 AM",2019-02-16 12:00:00,"2355","03","Southwest","0331",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",18,"Invest Cont","30TH                         ST",34.0283,-118.3492
"255","190315061","06/18/2019 12:00:00 AM",2019-06-18 12:00:00,"0300","03","Southwest","0392",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",18,"Adult Arrest","2900 W  VERNON                       AV",34.0037,-118.3246
"256","190315757","06/29/2019 12:00:00 AM",2019-06-29 12:00:00,"0700","03","Southwest","0361",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",18,"Invest Cont","4700    TACANA                       ST",34.0163,-118.3507
"257","191209201","03/17/2019 12:00:00 AM",2019-03-17 12:00:00,"1830","12","77th Street","1263",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","ST ANDREWS",33.9627,-118.3112
"258","190300606","03/10/2019 12:00:00 AM",2019-03-09 12:00:00,"2355","03","Southwest","0332",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",18,"Invest Cont","2600    HILLCREST                    DR",34.0321,-118.3428
"259","191600748","05/02/2019 12:00:00 AM",2019-05-02 12:00:00,"1340","16","Foothill","1645",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","PIERCE                       ST",34.2701,-118.4094
"260","190401190","09/05/2019 12:00:00 AM",2019-09-05 12:00:00,"2345","04","Hollenbeck","0414",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","AVENUE 28",34.081,-118.2076
"261","190121968","08/30/2019 12:00:00 AM",2019-08-29 12:00:00,"1800","01","Central","0195",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","1300 S  MAIN                         ST",34.0364,-118.2603
"262","191200817","10/05/2019 12:00:00 AM",2019-10-05 12:00:00,"1000","12","77th Street","1242",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","6600    MADDEN                       AV",33.9797,-118.3255
"263","191309325","04/06/2019 12:00:00 AM",2019-04-06 12:00:00,"2020","13","Newton","1347",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","4000    MORGAN                       AV",34.0102,-118.2451
"264","191204108","01/02/2019 12:00:00 AM",2019-01-02 12:00:00,"0004","12","77th Street","1215",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Adult Arrest","1400 W  54TH                         ST",33.9932,-118.3002
"265","190912399","06/16/2019 12:00:00 AM",2019-06-16 12:00:00,"0025","09","Van Nuys","0966",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","FULTON",34.1622,-118.4269
"266","191400705","04/23/2019 12:00:00 AM",2019-04-23 12:00:00,"0640","14","Pacific","1495",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Adult Other","9100    JENNY                        AV",33.9542,-118.3892
"267","190404597","01/15/2019 12:00:00 AM",2019-01-15 12:00:00,"2055","04","Hollenbeck","0497",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","3100 E  12TH                         ST",34.0191,-118.2134
"268","191000661","05/05/2019 12:00:00 AM",2019-05-05 12:00:00,"2220","10","West Valley","1035",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","ETIWANDA",34.1903,-118.5317
"269","190311202","04/20/2019 12:00:00 AM",2019-04-20 12:00:00,"0230","03","Southwest","0392",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",18,"Invest Cont","50TH                         ST",33.9978,-118.3247
"270","191516172","08/25/2019 12:00:00 AM",2019-08-25 12:00:00,"0030","15","N Hollywood","1532",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","12200    SYLVAN                       ST",34.1849,-118.4011
"271","191501221","09/26/2019 12:00:00 AM",2019-09-26 12:00:00,"0115","15","N Hollywood","1521",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","13200    GAULT                        ST",34.1994,-118.4203
"272","191307060","02/26/2019 12:00:00 AM",2019-02-26 12:00:00,"2110","13","Newton","1393",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","200 W  70TH                         ST",33.9765,-118.2761
"273","191014503","09/05/2019 12:00:00 AM",2019-09-05 12:00:00,"0325","10","West Valley","1015",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","SHERMAN                      WY",34.2012,-118.5241
"274","190315047","06/17/2019 12:00:00 AM",2019-06-17 12:00:00,"2315","03","Southwest","0331",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",18,"Invest Cont","4900    WESTHAVEN                    ST",34.0278,-118.3508
"275","190516086","09/27/2019 12:00:00 AM",2019-09-27 12:00:00,"2350","05","Harbor","0531",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","1500 W  261ST                        ST",33.786,-118.3032
"276","191900740","05/08/2019 12:00:00 AM",2019-05-08 12:00:00,"0130","19","Mission","1971",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","9000    ORION                        AV",34.2338,-118.472
"277","190315413","06/23/2019 12:00:00 AM",2019-06-23 12:00:00,"1400","03","Southwest","0313",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",18,"Adult Arrest","4200    MONTCLAIR                    ST",34.0333,-118.3311
"278","190610383","04/21/2019 12:00:00 AM",2019-04-21 12:00:00,"0045","06","Hollywood","0668",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","5600    LEXINGTON                    AV",34.0928,-118.3109
"279","191300674","05/05/2019 12:00:00 AM",2019-05-05 12:00:00,"0120","13","Newton","1371",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","53RD                         ST",33.9942,-118.2783
"280","191306125","02/09/2019 12:00:00 AM",2019-02-09 12:00:00,"0735","13","Newton","1377",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","55TH                         ST",33.993,-118.2411
"281","190408220","04/07/2019 12:00:00 AM",2019-04-07 12:00:00,"1055","04","Hollenbeck","0416",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","LINCOLN PARK                 AV",34.0805,-118.2028
"282","191900519","01/13/2019 12:00:00 AM",2019-01-13 12:00:00,"0802","19","Mission","1983",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","COLUMBUS",34.2247,-118.4655
"283","191010286","05/27/2019 12:00:00 AM",2019-05-27 12:00:00,"2040","10","West Valley","1029",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","7100    WOODLEY                      AV",34.1994,-118.4837
"284","191117149","09/24/2019 12:00:00 AM",2019-09-24 12:00:00,"2255","11","Northeast","1146",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","MARSH",34.1041,-118.2487
"285","192111787","06/06/2019 12:00:00 AM",2019-06-01 12:00:00,"2330","21","Topanga","2139",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",54,"Adult Other","7500    OAKDALE                      AV",34.2064,-118.5669
"286","190509861","05/13/2019 12:00:00 AM",2019-05-13 12:00:00,"2130","05","Harbor","0507",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","1300 W  225TH                        ST",33.8223,-118.2991
"287","191008431","04/12/2019 12:00:00 AM",2019-04-12 12:00:00,"2205","10","West Valley","1043",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","HATTERAS                     ST",34.1775,-118.536
"288","191300832","08/04/2019 12:00:00 AM",2019-08-04 12:00:00,"0130","13","Newton","1353",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","700 E  43RD                         ST",34.0057,-118.2635
"289","190410547","06/01/2019 12:00:00 AM",2019-06-01 12:00:00,"2334","04","Hollenbeck","0459",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","100 W  1ST                          ST",34.045,-118.1956
"290","191209292","03/18/2019 12:00:00 AM",2019-03-18 12:00:00,"1615","12","77th Street","1266",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","81ST                         ST",33.966,-118.2827
"291","190705093","01/24/2019 12:00:00 AM",2019-01-24 12:00:00,"1825","07","Wilshire","0758",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","1200    WEST                         BL",34.0519,-118.3324
"292","191508258","03/23/2019 12:00:00 AM",2019-03-23 12:00:00,"2215","15","N Hollywood","1539",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",29,"Invest Cont","5600    CAHUENGA                     BL",34.1722,-118.3615
"293","190514583","08/25/2019 12:00:00 AM",2019-08-25 12:00:00,"2310","05","Harbor","0584",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","GAFFEY                       ST",33.7152,-118.2929
"294","191313697","06/21/2019 12:00:00 AM",2019-06-21 12:00:00,"2248","13","Newton","1393",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","6600 S  MAIN                         ST",33.9786,-118.2761
"295","190218353","09/13/2019 12:00:00 AM",2019-09-13 12:00:00,"2153","02","Rampart","0248",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","500    WITMER                       ST",34.0561,-118.2653
"296","191404323","01/05/2019 12:00:00 AM",2019-01-05 12:00:00,"0100","14","Pacific","1438",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Adult Arrest","3600    WESTWOOD                     BL",34.021,-118.4128
"297","190105594","01/25/2019 12:00:00 AM",2019-01-22 12:00:00,"2000","01","Central","0158",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","800 E  6TH                          ST",34.0408,-118.2428
"298","191500986","07/09/2019 12:00:00 AM",2019-07-08 12:00:00,"0030","15","N Hollywood","1529",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Adult Arrest","VICTORY",34.1867,-118.3659
"299","191207440","02/19/2019 12:00:00 AM",2019-02-19 12:00:00,"1820","12","77th Street","1215",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","1000 W  58TH                         ST",33.9897,-118.2915
"300","191200803","09/25/2019 12:00:00 AM",2019-09-25 12:00:00,"0255","12","77th Street","1267",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","8300 S  FIGUEROA                     ST",33.9637,-118.2827
