"","ID","Case Number","Date","Block","IUCR","Primary Type","Description","Location Description","Arrest","Domestic","Beat","Ward","FBI Code","X Coordinate","Y Coordinate","Year","Updated On","Latitude","Longitude","Location"
"118",12771211,"JF329824",2022-07-24 03:36:00,"067XX S THROOP ST","041A","BATTERY","AGGRAVATED - HANDGUN","RESIDENCE - PORCH / HALLWAY",FALSE,FALSE,"0724",17,"04B",1168821,1860007,2022,"11/12/2022 03:46:21 PM",41.771378209,-87.65671433,"(41.771378209, -87.65671433)"
"119",12769399,"JF325330",2022-07-20 09:20:00,"042XX S MICHIGAN AVE","041A","BATTERY","AGGRAVATED - HANDGUN","RESIDENCE - YARD (FRONT / BACK)",FALSE,FALSE,"0213",3,"04B",1177863,1876944,2022,"11/12/2022 03:46:21 PM",41.817654974,-87.623056687,"(41.817654974, -87.623056687)"
"120",12774020,"JF333021",2022-07-27 12:31:00,"061XX S BISHOP ST","041A","BATTERY","AGGRAVATED - HANDGUN","SIDEWALK",FALSE,FALSE,"0713",16,"04B",1167716,1864127,2022,"11/12/2022 03:46:21 PM",41.782707791,-87.660646744,"(41.782707791, -87.660646744)"
"121",12770576,"JF329040",2022-07-23 10:25:00,"015XX W 18TH ST","041A","BATTERY","AGGRAVATED - HANDGUN","STREET",TRUE,FALSE,"1233",25,"04B",1166300,1891487,2022,"11/12/2022 03:46:21 PM",41.857816858,-87.66505806,"(41.857816858, -87.66505806)"
"122",12775736,"JF334730",2022-07-28 12:12:00,"082XX S RACINE AVE","041A","BATTERY","AGGRAVATED - HANDGUN","STREET",FALSE,FALSE,"0613",21,"04B",1169759,1850053,2022,"11/12/2022 03:46:21 PM",41.744042828,-87.653564265,"(41.744042828, -87.653564265)"
"123",12768917,"JF326875",2022-07-22 06:17:00,"003XX W ROOSEVELT RD","041A","BATTERY","AGGRAVATED - HANDGUN","STREET",FALSE,FALSE,"0124",25,"04B",1174153,1895002,2022,"11/12/2022 03:46:21 PM",41.867290925,-87.636128242,"(41.867290925, -87.636128242)"
"124",12776012,"JF335393",2022-07-28 08:15:00,"039XX S LAKE SHORE DR NB","041A","BATTERY","AGGRAVATED - HANDGUN","PARK PROPERTY",FALSE,FALSE,"0212",4,"04B",1183970,1879980,2022,"11/12/2022 03:46:21 PM",41.82584526,-87.600559684,"(41.82584526, -87.600559684)"
"125",12778152,"JF337815",2022-07-30 05:16:00,"016XX W 77TH ST","041A","BATTERY","AGGRAVATED - HANDGUN","STREET",FALSE,FALSE,"0611",17,"04B",1166846,1853654,2022,"11/12/2022 03:46:21 PM",41.753987132,-87.664135177,"(41.753987132, -87.664135177)"
"126",12775994,"JF335362",2022-07-28 08:21:00,"026XX W 23RD PL","041A","BATTERY","AGGRAVATED - HANDGUN","SIDEWALK",TRUE,FALSE,"1034",24,"04B",1159221,1888303,2022,"11/12/2022 03:46:21 PM",41.84922788,-87.691129694,"(41.84922788, -87.691129694)"
"127",12775139,"JF334342",2022-07-28 03:18:00,"017XX E 67TH ST","041A","BATTERY","AGGRAVATED - HANDGUN","STREET",FALSE,FALSE,"0332",5,"04B",1189162,1860906,2022,"11/12/2022 03:46:21 PM",41.773381812,-87.582123326,"(41.773381812, -87.582123326)"
