"","INCIDENT_KEY","OCCUR_DATE","OCCUR_TIME","BORO","PRECINCT","JURISDICTION_CODE","STATISTICAL_MURDER_FLAG","VIC_AGE_GROUP","VIC_SEX","VIC_RACE","X_COORD_CD","Y_COORD_CD","Latitude","Longitude","Lon_Lat"
"688",201195511,2019-08-15,22:59:00,"MANHATTAN",30,0,FALSE,"25-44","M","BLACK",999472,239856.671875,40.8250218270001,-73.945000883,"POINT (-73.94500088299998 40.82502182700006)"
"689",200994118,2019-08-10,23:37:00,"BRONX",48,0,FALSE,"18-24","M","WHITE HISPANIC",1014831.3125,245134.328125,40.8394676450001,-73.8894801559999,"POINT (-73.88948015599993 40.83946764500007)"
"690",194859637,2019-03-18,20:08:00,"MANHATTAN",23,2,FALSE,"18-24","M","WHITE HISPANIC",1000654.6875,228899.296875,40.7949447570001,-73.940754339,"POINT (-73.94075433899997 40.79494475700005)"
"691",199046249,2019-06-27,21:02:00,"QUEENS",101,0,FALSE,"25-44","M","WHITE HISPANIC",1053916.75,159316.359375,40.6036972850001,-73.749113666,"POINT (-73.74911366599997 40.60369728500007)"
"692",197381383,2019-05-18,20:13:00,"BROOKLYN",75,0,FALSE,"18-24","M","BLACK",1016176.6875,175720.671875,40.6489399700001,-73.884947439,"POINT (-73.88494743899997 40.64893997000007)"
"693",194324356,2019-03-05,23:24:00,"BROOKLYN",79,0,TRUE,"25-44","M","WHITE HISPANIC",996756.9375,190061.953125,40.6883523060001,-73.954903643,"POINT (-73.95490364299997 40.68835230600007)"
"694",195102367,2019-03-23,15:50:00,"BRONX",47,2,FALSE,"25-44","F","BLACK HISPANIC",1026591,262398.375,40.8868036200001,-73.846871487,"POINT (-73.84687148699999 40.88680362000008)"
"695",191851037,2019-01-03,21:00:00,"BRONX",49,0,FALSE,"25-44","M","BLACK",1024472,256716,40.8712171940001,-73.8545691419999,"POINT (-73.85456914199995 40.87121719400005)"
"696",197423973,2019-05-03,17:08:00,"STATEN ISLAND",121,0,FALSE,"25-44","F","WHITE HISPANIC",944564,168983.21875,40.630415742,-74.142977957,"POINT (-74.14297795699997 40.630415742000025)"
"697",192876454,2019-01-28,20:36:00,"BRONX",43,0,FALSE,"18-24","M","BLACK HISPANIC",1023548,238401.65625,40.820953925,-73.8580174109999,"POINT (-73.85801741099993 40.820953925000026)"
"698",197700946,2019-05-28,01:50:00,"MANHATTAN",23,2,FALSE,"25-44","M","BLACK",1000101.5,229680.1875,40.7970890990001,-73.9427503859999,"POINT (-73.94275038599994 40.79708909900006)"
"699",200331333,2019-07-27,22:53:00,"BROOKLYN",73,0,TRUE,"25-44","F","BLACK",1011786,178738,40.6572366130001,-73.900757798,"POINT (-73.90075779799997 40.657236613000066)"
"700",192876037,2019-01-28,03:14:00,"MANHATTAN",34,0,FALSE,"25-44","M","BLACK",1006901,254647,40.865600998,-73.9181082599999,"POINT (-73.91810825999994 40.86560099800005)"
"701",203041423,2019-09-27,20:40:00,"BROOKLYN",75,2,FALSE,"25-44","F","BLACK",1013030.625,182525.90625,40.6676296160001,-73.89625583,"POINT (-73.89625582999997 40.667629616000056)"
"702",203394881,2019-10-07,16:21:00,"BROOKLYN",60,2,FALSE,"18-24","F","BLACK",984687.875,150503.21875,40.5797807960001,-73.998425105,"POINT (-73.99842510499997 40.57978079600008)"
"703",200056612,2019-07-19,23:50:00,"BRONX",46,0,FALSE,"18-24","M","BLACK",1008497.1875,248717.015625,40.8493207320001,-73.912358803,"POINT (-73.91235880299996 40.84932073200008)"
"704",199422329,2019-07-07,10:50:00,"BROOKLYN",60,0,FALSE,"25-44","F","BLACK",985896.9375,148507.09375,40.5743016820001,-73.9940730129999,"POINT (-73.99407301299993 40.574301682000055)"
"705",196276904,2019-04-20,01:19:00,"BROOKLYN",84,2,FALSE,"25-44","M","BLACK",988740.3125,194815.46875,40.7014073020001,-73.983807004,"POINT (-73.98380700399997 40.701407302000064)"
"706",194324354,2019-03-05,20:04:00,"BRONX",44,0,FALSE,"25-44","M","BLACK HISPANIC",1008093,245355.234375,40.8400947320001,-73.9138317109999,"POINT (-73.91383171099994 40.84009473200007)"
"707",197293451,2019-05-16,19:26:00,"BROOKLYN",77,0,TRUE,"25-44","M","BLACK",999271.5625,185194.375,40.674988,-73.945847203,"POINT (-73.94584720299997 40.67498800000004)"
"708",199314080,2019-07-04,21:16:00,"BROOKLYN",67,0,FALSE,"25-44","M","BLACK",999445.875,171582.421875,40.637625874,-73.945249459,"POINT (-73.94524945899997 40.63762587400004)"
"709",203676928,2019-10-12,06:55:00,"BROOKLYN",77,0,TRUE,"25-44","F","BLACK",1003550.0625,185644.921875,40.6762163560001,-73.9304214969999,"POINT (-73.93042149699994 40.676216356000054)"
"710",191951589,2019-01-05,00:42:00,"STATEN ISLAND",120,0,FALSE,"<18","M","BLACK HISPANIC",951319.375,171305.796875,40.636818411,-74.118651775,"POINT (-74.11865177499999 40.636818411000036)"
"711",197662446,2019-05-26,20:08:00,"BROOKLYN",75,0,FALSE,"25-44","M","BLACK",1015379.125,182115.21875,40.666494426,-73.887792089,"POINT (-73.88779208899996 40.66649442600004)"
"712",193939360,2019-02-23,06:29:00,"BRONX",43,2,FALSE,"45-64","M","BLACK",1026381.75,237308.859375,40.8179414480001,-73.847785926,"POINT (-73.84778592599997 40.817941448000056)"
"713",201089979,2019-08-13,15:55:00,"QUEENS",105,0,FALSE,"25-44","M","BLACK",1055613.875,186260.5625,40.6776395370001,-73.7427169269999,"POINT (-73.74271692699995 40.67763953700006)"
